"unidade";"equipe";"ind_8.num";"ind_8.den";"ind_9.1.num";"ind_9.2.num";"ind_9.3.num";"ind_9.den";"ind_13.num";"ind_13.den";"ind_16.num";"ind_16.den";"ind_3.1";"ind_3.2";"ind_3.3";"ind_3.4";"ind_3.5";"ind_3.6";"ind_3.7";"ind_3.9";"ind_3.11";"ind_3.13";"ind_3.14"
"CS SACO GRANDE";"333";"1850";"1882";"421";"1586";"817";"2608";"249";"1839";"15";"86";"2789";"2454";"1919";"774";"216";"226";"602";"53";"11";"22";"385"
"CS SACO GRANDE";"334";"1651";"1686";"298";"1425";"798";"2302";"212";"1638";"5";"81";"2665";"2390";"1878";"572";"141";"447";"843";"52";"7";"18";"395"
"CS SACO GRANDE";"335";"1334";"1350";"320";"957";"927";"2034";"331";"1291";"15";"48";"2404";"2008";"1876";"644";"141";"278";"745";"56";"5";"11";"375"
"CS SACO GRANDE";"336";"1541";"1568";"289";"1243";"1267";"1880";"169";"1412";"18";"54";"2096";"1844";"1812";"551";"120";"226";"553";"41";"7";"10";"321"
"CS SANTINHO";"980";"2167";"2196";"465";"1661";"1377";"3201";"1022";"2683";"11";"82";"3439";"2689";"2563";"884";"234";"435";"867";"56";"12";"19";"446"
"CS SANTINHO";"981";"1867";"1899";"387";"1325";"1232";"2804";"1065";"2390";"19";"118";"2944";"2195";"2242";"704";"190";"360";"648";"64";"2";"19";"449"
"CS SANTINHO";"982";"1101";"1134";"239";"883";"807";"1339";"323";"1207";"3";"32";"1508";"1223";"1173";"379";"106";"208";"451";"20";"3";"18";"187"
"CS SANTO ANTONIO DE LISBOA";"360";"1524";"1533";"304";"1070";"1076";"2219";"264";"1334";"21";"78";"2346";"1666";"1843";"474";"93";"376";"526";"29";"0";"11";"299"
"CS SANTO ANTONIO DE LISBOA";"361";"1803";"1823";"431";"1232";"1316";"2526";"300";"1532";"19";"95";"2727";"2000";"2246";"685";"116";"474";"714";"30";"7";"12";"409"
"CS SANTO ANTONIO DE LISBOA";"362";"1310";"1319";"325";"1009";"921";"1646";"224";"1233";"11";"56";"1752";"1413";"1438";"523";"122";"196";"429";"25";"11";"6";"282"
"CS SAPE";"30";"1441";"1474";"324";"1229";"764";"1961";"607";"1837";"15";"51";"2249";"1992";"1462";"574";"138";"343";"818";"52";"5";"15";"418"
"CS SAPE";"31";"1349";"1370";"271";"1067";"974";"1832";"533";"1601";"17";"65";"2006";"1710";"1530";"481";"130";"293";"618";"43";"8";"6";"363"
"CS TAPERA";"260";"1452";"1462";"268";"1248";"978";"1817";"314";"1562";"18";"54";"2173";"1980";"1681";"505";"124";"349";"768";"32";"3";"6";"342"
"CS TAPERA";"261";"1463";"1481";"282";"1292";"788";"1880";"394";"1687";"17";"39";"2233";"2004";"1510";"556";"138";"306";"755";"30";"8";"9";"351"
"CS TAPERA";"262";"1555";"1576";"373";"1330";"936";"2125";"547";"1877";"5";"39";"2394";"2117";"1712";"661";"134";"299";"756";"42";"6";"13";"382"
"CS TAPERA";"263";"1648";"1668";"371";"1272";"1073";"2204";"574";"1846";"6";"58";"2469";"2116";"1882";"623";"157";"228";"780";"31";"2";"12";"399"
"CS TAPERA";"264";"1416";"1426";"281";"1226";"906";"1842";"327";"1553";"10";"44";"2205";"1993";"1708";"516";"115";"318";"795";"34";"7";"15";"358"
"CS TAPERA";"265";"1375";"1386";"245";"1215";"715";"1914";"401";"1616";"16";"51";"2201";"1989";"1479";"441";"107";"383";"750";"31";"4";"8";"366"
"CS TRINDADE";"850";"2000";"2017";"308";"1689";"1190";"2903";"198";"1893";"12";"60";"3103";"2634";"2110";"645";"183";"286";"694";"51";"3";"19";"393"
"CS TRINDADE";"851";"1969";"1989";"425";"1634";"1233";"2650";"221";"1856";"12";"88";"2802";"2362";"2002";"725";"282";"123";"521";"36";"18";"33";"358"
"CS TRINDADE";"852";"1612";"1615";"223";"1261";"1105";"2485";"164";"1426";"9";"42";"2551";"1986";"1897";"425";"70";"344";"482";"66";"1";"13";"400"
"CS TRINDADE";"853";"2045";"2059";"341";"1635";"1347";"2915";"226";"1869";"16";"93";"3065";"2482";"2280";"638";"98";"284";"514";"96";"2";"14";"521"
"CS TRINDADE";"854";"1975";"1998";"329";"1552";"1317";"2838";"253";"1805";"26";"109";"2910";"2353";"2168";"596";"103";"204";"440";"57";"8";"11";"496"
"CS TRINDADE";"855";"1768";"1774";"278";"1516";"1174";"2333";"108";"1625";"11";"53";"2494";"2167";"1847";"520";"81";"251";"454";"74";"5";"9";"491"
"CS VARGEM GRANDE";"410";"1733";"1754";"311";"1363";"1126";"2581";"957";"2320";"3";"75";"2772";"2230";"2187";"611";"157";"358";"725";"50";"8";"23";"504"
"CS VARGEM GRANDE";"411";"1395";"1412";"296";"1021";"1055";"1813";"533";"1554";"17";"63";"1969";"1591";"1639";"502";"146";"243";"539";"31";"1";"31";"362"
"CS VARGEM GRANDE";"414";"0";"0";NA;NA;NA;NA;"0";"0";NA;NA;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CS VARGEM PEQUENA";"340";"1561";"1566";"387";"1099";"1207";"2082";"587";"1686";"11";"91";"2262";"1752";"1930";"728";"106";"309";"652";"27";"6";"13";"385"
"CS VILA APARECIDA";"90";"1196";"1230";"430";"988";"920";"1463";"111";"1099";"3";"26";"1732";"1481";"1514";"660";"110";"225";"547";"39";"17";"17";"206"
"CS VILA APARECIDA";"91";"1520";"1560";"517";"1137";"1193";"1885";"183";"1324";"2";"40";"2106";"1725";"1836";"801";"172";"112";"452";"34";"23";"16";"171"
"SEM UNIDADE";"SEM EQUIPE";"2166";"2950";"441";"1815";"1285";"6610";"12634";"14473";"9";"270";"6749";"4212";"3673";"923";"117";"648";"2122";"133";"29";"4";"1262"
