"unidade";"equipe"
"CS JURERE";"1390"
"CS SACO DOS LIMOES";"314"
"CS TRINDADE";"1850"
"CS COQUEIROS";"602"
"CS CAMPECHE";"283"
"CS RIBEIRAO DA ILHA";"220"
"CS AGRONOMICA";"690"
"CS SACO GRANDE";"1330"
"CS INGLESES";"437"
"CS MONTE CRISTO";"43"
"CS INGLESES";"9305"
"CS ARMACAO";"242"
"CS SACO DOS LIMOES";"1310"
"CS SACO GRANDE";"1331"
"CS SANTO ANTONIO DE LISBOA";"1361"
"CS PONTA DAS CANAS";"9306"
"CS SAPE";"1030"
"CS TRINDADE";"1852"
"CS JARDIM ATLANTICO";"1010"
"CS LAGOA DA CONCEICAO";"1470"
"CS MONTE CRISTO";"1040"
"CS MONTE CRISTO";"1041"
"CS MONTE CRISTO";"1042"
"CS MORRO DAS PEDRAS";"1251"
"CS NOVO CONTINENTE";"1100"
"CS NOVO CONTINENTE";"1101"
"CS CORREGO GRANDE";"9104"
"CS VARGEM GRANDE";"411"
"CS ITACORUBI";"9107"
"CS RIO VERMELHO";"1421"
"CS MONTE SERRAT";"9108"
"CS SACO GRANDE";"1334"
"CS TRINDADE";"1851"
"CS AGRONOMICA";"13"
"CS AGRONOMICA";"5"
"CS PRAINHA";"134"
"CS CENTRO";"953"
"CS PANTANAL";"9109"
"CS PANTANAL";"9110"
"CS ABRAAO";"1571"
"CS SACO DOS LIMOES";"313"
"CS AGRONOMICA";"693"
"CS ITACORUBI";"192"
"CS SACO DOS LIMOES";"311"
"CS AGRONOMICA";"1691"
"CS CAMPECHE";"1281"
"CS CANASVIEIRAS";"1381"
"CS CAPOEIRAS";"1060"
"CS COLONINHA";"1070"
"CS COLONINHA";"1071"
"CS COQUEIROS";"1600"
"CS CORREGO GRANDE";"1170"
"CS ESTREITO";"1080"
"CS ESTREITO";"1081"
"CS FAZENDA DO RIO TAVARES";"1780"
"CS INGLESES";"1432"
"CS INGLESES";"1433"
"CS VILA APARECIDA";"1090"
"CS VARGEM PEQUENA";"1340"
"CS RIO TAVARES";"1290"
"CS SACO DOS LIMOES";"312"
"CS PONTA DAS CANAS";"1370"
"CS VILA APARECIDA";"9217"
"CS LAGOA DA CONCEICAO";"473"
"CS MORRO DAS PEDRAS";"252"
"CS RIO VERMELHO";"9309"
"CS RIO VERMELHO";"9307"
"CS BARRA DA LAGOA";"1440"
"CS ESTREITO";"9218"
"CS COQUEIROS";"9219"
"CS CANTO DA LAGOA";"1450"
"CS CAPOEIRAS";"1061"
"CS COSTEIRA DO PIRAJUBAE";"1300"
"CS COSTEIRA DO PIRAJUBAE";"1301"
"CS ITACORUBI";"1191"
"CS RIO VERMELHO";"1422"
"CS RATONES";"1350"
"CS RIBEIRAO DA ILHA";"1220"
"CS CAPIVARI";"994"
"CS CANASVIEIRAS";"385"
"CS SANTINHO";"9311"
"CS ALTO RIBEIRAO";"212"
"CS AGRONOMICA";"9101"
"CS CORREGO GRANDE";"9103"
"CS PANTANAL";"1161"
"CS PRAINHA";"1131"
"CS SACO GRANDE";"1333"
"CS ITACORUBI";"9106"
"CS ALTO RIBEIRAO";"9401"
"CS PANTANAL";"9111"
"CS PRAINHA";"9112"
"CS ALTO RIBEIRAO";"9402"
"CS ARMACAO";"9404"
"CS SACO GRANDE";"9117"
"CS SACO GRANDE";"9120"
"CS TRINDADE";"9122"
"CS SACO DOS LIMOES";"9113"
"CS RIO VERMELHO";"1440"
"CS TRINDADE";"9123"
"CS ABRAAO";"9201"
"CS ESTREITO";"9202"
"CS MONTE CRISTO";"9204"
"CS MONTE CRISTO";"9205"
"CS MONTE CRISTO";"9206"
"CS MONTE CRISTO";"9207"
"CS MONTE CRISTO";"9208"
"CS NOVO CONTINENTE";"9210"
"CS NOVO CONTINENTE";"9213"
"CS JARDIM ATLANTICO";"9214"
"CS MONTE CRISTO";"9215"
"CS SAPE";"9216"
"CS CAMPECHE";"280"
"CS CAPIVARI";"990"
"CS CAPIVARI";"993"
"CS CAPIVARI";"1990"
"CS ARMACAO";"9405"
"CS SANTINHO";"982"
"CS CAPIVARI";"1991"
"CS SACO GRANDE";"9114"
"CS CANASVIEIRAS";"382"
"CS PANTANO DO SUL";"231"
"CS SACO GRANDE";"9119"
"CS CAPIVARI";"995"
"CS LAGOA DA CONCEICAO";"9412"
"CS JARDIM ATLANTICO";"9203"
"CS NOVO CONTINENTE";"9211"
"CS NOVO CONTINENTE";"9212"
"CS LAGOA DA CONCEICAO";"9413"
"CS PONTA DAS CANAS";"371"
"CS CAMPECHE";"9406"
"CS CAMPECHE";"9407"
"CS CENTRO";"951"
"CS CARIANOS";"9408"
"CS COSTEIRA DO PIRAJUBAE";"9409"
"CS TAPERA";"9415"
"CS CENTRO";"952"
"CS FAZENDA DO RIO TAVARES";"9410"
"CS COQUEIROS";"600"
"CS JURERE";"391"
"CS FAZENDA DO RIO TAVARES";"9411"
"CS CAMPECHE";"9417"
"CS AGRONOMICA";"695"
"CS FAZENDA DO RIO TAVARES";"781"
"CS TAPERA";"1261"
"CS COLONINHA";"6"
"CS ALTO RIBEIRAO";"1211"
"CS NOVO CONTINENTE";"11"
"CS BARRA DA LAGOA";"4"
"CS CAMPECHE";"9"
"CS AGRONOMICA";"1"
"CS RIO TAVARES";"1291"
"CS ABRAAO";"9220"
"CS MONTE CRISTO";"9221"
"CS JARDIM ATLANTICO";"9222"
"CS RIO VERMELHO";"9310"
"CS ALTO RIBEIRAO";"9403"
"CS TAPERA";"9414"
"CS CENTRO";"1951"
"CS TAPERA";"9416"
"CS CAIEIRA DA BARRA DO SUL";"1200"
"CS CAIEIRA DA BARRA DO SUL";"200"
"CS ALTO RIBEIRAO";"1211"
"CS ALTO RIBEIRAO";"1211"
"CS CARIANOS";"9418"
"CS RIO TAVARES";"9419"
"CS CAMPECHE";"9420"
"CS TAPERA";"9421"
"CS CORREGO GRANDE";"173"
